Player_Name,Player_ID
Pascal Siakam,1627783
Buddy Hield,1627741
Cedi Osman,1626224
Royce O'Neale,1626220
Tobias Harris,202699
Klay Thompson,202691
Joe Harris,203925
Marcus Morris Sr.,202694
De'Anthony Melton,1629001
Gordon Hayward,202330
Xavier Tillman,1630223
Kenyon Martin Jr.,1630161
Monte Morris,1628420
Markelle Fultz,1628365
Lamar Stevens,1629652
Naji Marshall,1630230
Mike Conley,201144
Kelly Olynyk,203482
Kyle Lowry,200768
Doug McDermott,203926
Furkan Korkmaz,1627788
Gary Trent Jr.,1629018
Zach Collins,1628380
Cameron Payne,1626166
Reggie Bullock,203493
Spencer Dinwiddie,203915
DeMar DeRozan,201942
Talen Horton-Tucker,1629659
Alec Burks,202692
Khem Birch,203920
Rudy Gay,200752
Jarred Vanderbilt,1629020
Jordan McLaughlin,1629162
Grayson Allen,1628960
Jonas Valanciunas,202685
Robert Covington,203496
Isaiah Hartenstein,1628392
Nicolas Batum,201587
Malik Monk,1628370
Danuel House Jr.,1627863
Tyus Jones,1626145
Thaddeus Young,200765
Patty Mills,201988
Nicolas Claxton,1629643
Damian Jones,1627745
Gary Harris,203914
Kyle Anderson,203937
Delon Wright,1626153
Andre Drummond,203083
Otto Porter Jr.,203490
Jalen Smith,1630176
Luke Kornet,1628436
Victor Oladipo,203506
Danilo Gallinari,201568
Edmond Sumner,1628410
James Harden,201935
Mike Muscala,203488
Goga Bitadze,1629048
Isaiah Roby,1629676
Coby White,1629632
Taurean Prince,1627752
Patrick Beverley,201976
DeAndre Jordan,201599
Cody Zeller,203469
Alex Len,203458
Miles Bridges,1628970
Lonnie Walker IV,1629022
Justin Holiday,203200
Mason Plumlee,203486
Malik Beasley,1627736
Mohamed Bamba,1628961
Aaron Holiday,1628988
Montrezl Harrell,203914
Drew Eubanks,1629234
Dario Saric,203967
Bol Bol,1629626
Darius Bazley,1629647
Wesley Matthews,202083
Nerlens Noel,203457
Garrett Temple,202066
