"SEASON_ID","Age","Tm","Lg","Pos","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS_48","OBPM","DBPM","BPM","VORP","PLAYER_ID","LEAGUE_ID","TEAM_ID","TEAM_ABBREVIATION","PLAYER_AGE","GP","GS","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS"
"2009-10","20","OKC","NBA","SG","76","1738","14","0.551","0.429","0.415","3.2","12.7","8.1","12.3","2.4","0.9","13.4","20.4","2","2.5","4.5","0.124","-0.7","1.2","0.5","1.1","201935","0","1610612760","OKC","20","76","0","1738","233","578","0.403","93","248","0.375","194","240","0.808","47","197","244","137","80","20","106","200","753"
"2010-11","21","OKC","NBA","SG","82","2189","16.4","0.598","0.474","0.501","2.3","11","6.8","12.8","2.2","0.8","11.3","19.5","5","2.1","7.1","0.156","1.3","0.6","1.9","2.2","201935","0","1610612760","OKC","21","82","5","2189","298","684","0.436","113","324","0.349","289","343","0.843","42","213","255","176","92","24","106","207","998"
"2011-12","22","OKC","NBA","SG","62","1946","21.1","0.66","0.464","0.587","1.9","12.2","7.4","19.3","1.6","0.6","14.8","21.6","7.5","1.8","9.3","0.23","4.1","0.2","4.3","3.1","201935","0","1610612760","OKC","22","62","2","1946","309","629","0.491","114","292","0.39","312","369","0.846","30","222","252","229","62","15","137","150","1044"
"2012-13","23","HOU","NBA","SG","78","2985","22.9","0.6","0.364","0.592","2.4","11.9","7.2","25.7","2.4","1","14.9","29","9.8","3","12.8","0.206","5.2","0.5","5.6","5.8","201935","0","1610612745","HOU","23","78","78","2985","585","1337","0.438","179","486","0.368","674","792","0.851","62","317","379","455","142","38","295","178","2023"
"2013-14","24","HOU","NBA","SG","73","2777","23.5","0.618","0.401","0.552","2.6","10.7","6.9","27.3","2.1","0.8","15","27.8","10.1","2.7","12.8","0.221","5.4","0.2","5.6","5.3","201935","0","1610612745","HOU","24","73","73","2777","549","1205","0.456","177","483","0.366","576","665","0.866","61","283","344","446","115","29","265","177","1851"
"2014-15","25","HOU","NBA","SG","81","2981","26.7","0.605","0.378","0.561","2.8","14.2","8.5","34.6","2.6","1.6","14.9","31.3","12.2","4.2","16.4","0.265","7","1.8","8.8","8.1","201935","0","1610612745","HOU","25","81","81","2981","647","1470","0.44","208","555","0.375","715","824","0.868","75","384","459","565","154","60","321","208","2217"
"2015-16","26","HOU","NBA","SG","82","3125","25.3","0.598","0.406","0.518","2.2","15.6","8.8","35.4","2.2","1.4","15.9","32.5","10.7","2.6","13.3","0.204","6.4","0.2","6.6","6.8","201935","0","1610612745","HOU","26","82","82","3125","710","1617","0.439","236","657","0.359","720","837","0.86","63","438","501","612","139","51","374","229","2376"
"2016-17","27","HOU","NBA","PG","81","2947","27.4","0.613","0.493","0.575","3.5","20.9","12.2","50.7","2","1","19.5","34.2","11.5","3.6","15","0.245","7.5","1.2","8.7","8","201935","0","1610612745","HOU","27","81","81","2947","674","1533","0.44","262","756","0.347","746","881","0.847","95","564","659","907","121","38","464","215","2356"
"2017-18","28","HOU","NBA","SG","72","2551","29.8","0.619","0.498","0.502","1.8","15.2","8.6","45.1","2.4","1.7","15.1","36.1","11.6","3.8","15.4","0.289","8.5","1.4","9.9","7.7","201935","0","1610612745","HOU","28","72","72","2551","651","1449","0.449","265","722","0.367","624","727","0.858","41","348","389","630","126","50","315","169","2191"
"2018-19","29","HOU","NBA","PG","78","2867","30.6","0.616","0.539","0.449","2.5","17.8","10","39.5","2.7","1.7","14.5","40.5","11.4","3.8","15.2","0.254","9.4","1.6","11","9.3","201935","0","1610612745","HOU","29","78","78","2867","843","1909","0.442","378","1028","0.368","754","858","0.879","66","452","518","586","158","58","387","244","2818"
