Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2011-12,19,MIL,NBA,SF,42,479,14.2,0.54,0.136,0.32,6.7,16.8,11.6,7.4,1.4,1.1,13.9,20.6,0.4,0.4,0.9,0.087,-1.0,-0.9,-1.9,0.0
2012-13,20,TOT,NBA,"PF,SF",55,1299,16.0,0.527,0.211,0.268,6.2,18.6,12.4,8.8,1.3,2.6,10.3,22.1,1.2,1.2,2.4,0.089,0.0,-0.5,-0.5,0.5
2012-13,20,MIL,NBA,SF,28,325,13.0,0.538,0.183,0.226,5.4,13.7,9.4,6.4,1.2,1.6,12.5,19.4,0.2,0.3,0.5,0.08,-1.5,-0.6,-2.1,0.0
2012-13,20,ORL,NBA,PF,27,974,17.0,0.524,0.219,0.28,6.5,20.2,13.3,9.6,1.3,2.9,9.7,23.1,1.0,0.9,1.9,0.092,0.5,-0.5,0.0,0.5
2013-14,21,ORL,NBA,PF,61,1850,16.5,0.542,0.176,0.341,5.4,20.6,13.0,7.7,1.1,1.0,8.7,22.2,2.4,1.7,4.1,0.107,0.0,-0.7,-0.7,0.6
2014-15,22,ORL,NBA,SF,68,2369,16.7,0.551,0.252,0.258,3.4,17.3,10.3,8.8,1.5,1.2,9.8,22.5,3.0,1.8,4.8,0.098,1.1,-0.6,0.5,1.5
2015-16,23,TOT,NBA,PF,76,2513,16.2,0.56,0.269,0.273,4.1,18.6,11.2,10.6,1.3,1.3,9.8,19.3,4.1,2.5,6.6,0.126,1.2,0.3,1.5,2.2
2015-16,23,ORL,NBA,PF,49,1610,15.0,0.55,0.279,0.283,4.8,18.9,11.8,9.3,1.5,1.4,11.4,18.9,1.7,1.6,3.3,0.099,0.5,0.1,0.6,1.0
2015-16,23,DET,NBA,PF,27,903,18.2,0.577,0.253,0.259,2.9,18.0,10.2,12.9,1.0,1.0,7.2,20.2,2.3,0.9,3.3,0.174,2.4,0.7,3.1,1.2
2016-17,24,DET,NBA,PF,82,2567,16.9,0.568,0.295,0.213,2.6,15.6,8.8,8.8,1.2,1.3,7.6,21.7,4.0,2.8,6.8,0.128,1.3,0.3,1.6,2.3
2017-18,25,TOT,NBA,PF,80,2668,17.1,0.565,0.364,0.177,2.4,15.7,9.0,11.8,1.3,1.1,7.4,23.3,4.2,2.5,6.7,0.12,2.3,-0.4,1.9,2.6
2017-18,25,DET,NBA,PF,48,1563,16.7,0.564,0.389,0.192,2.5,15.0,8.6,9.9,1.1,0.9,6.2,23.2,2.6,1.5,4.1,0.125,2.2,-0.5,1.7,1.5
2017-18,25,LAC,NBA,PF,32,1105,17.7,0.565,0.33,0.156,2.2,16.8,9.6,14.3,1.6,1.5,9.0,23.5,1.6,1.0,2.6,0.112,2.3,-0.2,2.1,1.2
2018-19,26,TOT,NBA,PF,82,2847,17.2,0.592,0.313,0.245,2.6,20.8,12.0,12.5,0.8,1.0,9.8,22.8,4.5,2.6,7.1,0.12,2.1,-0.5,1.6,2.6
2018-19,26,LAC,NBA,PF,55,1903,18.2,0.605,0.302,0.256,2.1,21.3,12.0,12.5,1.0,1.0,10.3,23.5,3.2,1.8,5.0,0.127,2.7,-0.2,2.4,2.1
2018-19,26,PHI,NBA,PF,27,944,15.3,0.562,0.338,0.221,3.7,19.7,11.9,12.6,0.6,1.1,8.8,21.3,1.2,0.9,2.1,0.105,0.9,-1.0,-0.1,0.5
2019-20,27,PHI,NBA,PF,72,2469,17.2,0.556,0.304,0.184,3.1,19.1,11.1,14.6,1.0,1.4,7.6,23.9,3.5,2.7,6.2,0.121,1.3,-0.5,0.8,1.8
2020-21,28,PHI,NBA,PF,62,2014,20.0,0.597,0.225,0.221,3.5,19.2,11.4,17.6,1.3,2.3,9.5,23.9,4.1,3.1,7.1,0.17,2.9,0.8,3.7,2.9
2021-22,29,PHI,NBA,PF,73,2543,15.9,0.566,0.269,0.198,3.4,18.1,10.9,15.9,0.9,1.5,9.5,21.7,3.0,2.6,5.6,0.105,0.6,-0.6,0.0,1.3
2022-23,30,PHI,NBA,SF,74,2436,14.8,0.602,0.383,0.153,3.3,17.0,10.3,11.4,1.4,1.5,9.0,18.2,3.1,2.8,5.9,0.116,0.6,0.1,0.7,1.7
