"SEASON_ID","Age","Tm","Lg","Pos","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS_48","OBPM","DBPM","BPM","VORP","PLAYER_ID","LEAGUE_ID","TEAM_ID","TEAM_ABBREVIATION","PLAYER_AGE","GP","GS","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS"
"2016-17","24","TOT","NBA","SG","82","1888","11.8","0.541","0.494","0.099","2","13.5","7.8","10.3","1","0.4","11.2","21.3","0","1.3","1.3","0.032","-0.6","-1.4","-2","0","1627741","0","0","TOT","24","82","55","1888","327","767","0.426","148","379","0.391","64","76","0.842","35","234","269","121","38","9","101","115","866"
"2016-17","24","TOT","NBA","SG","82","1888","11.8","0.541","0.494","0.099","2","13.5","7.8","10.3","1","0.4","11.2","21.3","0","1.3","1.3","0.032","-0.6","-1.4","-2","0","1627741","0","1610612758","SAC","24","25","18","727","142","296","0.48","59","138","0.428","35","43","0.814","16","87","103","44","20","2","53","34","378"
"2016-17","24","TOT","NBA","SG","82","1888","11.8","0.541","0.494","0.099","2","13.5","7.8","10.3","1","0.4","11.2","21.3","0","1.3","1.3","0.032","-0.6","-1.4","-2","0","1627741","0","1610612740","NOP","24","57","37","1161","185","471","0.393","89","241","0.369","29","33","0.879","19","147","166","77","18","7","48","81","488"
"2016-17","24","NOP","NBA","SG","57","1161","9.9","0.503","0.512","0.07","1.7","13.4","7.5","10.3","0.8","0.5","9","20.4","-0.4","0.9","0.5","0.02","-1.7","-1.1","-2.8","-0.2","1627741","0","0","TOT","24","82","55","1888","327","767","0.426","148","379","0.391","64","76","0.842","35","234","269","121","38","9","101","115","866"
"2016-17","24","NOP","NBA","SG","57","1161","9.9","0.503","0.512","0.07","1.7","13.4","7.5","10.3","0.8","0.5","9","20.4","-0.4","0.9","0.5","0.02","-1.7","-1.1","-2.8","-0.2","1627741","0","1610612758","SAC","24","25","18","727","142","296","0.48","59","138","0.428","35","43","0.814","16","87","103","44","20","2","53","34","378"
"2016-17","24","NOP","NBA","SG","57","1161","9.9","0.503","0.512","0.07","1.7","13.4","7.5","10.3","0.8","0.5","9","20.4","-0.4","0.9","0.5","0.02","-1.7","-1.1","-2.8","-0.2","1627741","0","1610612740","NOP","24","57","37","1161","185","471","0.393","89","241","0.369","29","33","0.879","19","147","166","77","18","7","48","81","488"
"2016-17","24","SAC","NBA","SG","25","727","14.9","0.6","0.466","0.145","2.6","13.7","8.2","10.3","1.4","0.3","14.4","22.9","0.4","0.4","0.8","0.053","1.1","-1.9","-0.8","0.2","1627741","0","0","TOT","24","82","55","1888","327","767","0.426","148","379","0.391","64","76","0.842","35","234","269","121","38","9","101","115","866"
"2016-17","24","SAC","NBA","SG","25","727","14.9","0.6","0.466","0.145","2.6","13.7","8.2","10.3","1.4","0.3","14.4","22.9","0.4","0.4","0.8","0.053","1.1","-1.9","-0.8","0.2","1627741","0","1610612758","SAC","24","25","18","727","142","296","0.48","59","138","0.428","35","43","0.814","16","87","103","44","20","2","53","34","378"
"2016-17","24","SAC","NBA","SG","25","727","14.9","0.6","0.466","0.145","2.6","13.7","8.2","10.3","1.4","0.3","14.4","22.9","0.4","0.4","0.8","0.053","1.1","-1.9","-0.8","0.2","1627741","0","1610612740","NOP","24","57","37","1161","185","471","0.393","89","241","0.369","29","33","0.879","19","147","166","77","18","7","48","81","488"
"2017-18","25","SAC","NBA","SG","80","2024","16.1","0.557","0.437","0.087","3","14.8","8.6","12.8","2.1","1","11.3","24.3","1.3","1.5","2.8","0.067","1.6","-0.5","1","1.5","1627741","0","1610612758","SAC","25","80","13","2024","416","933","0.446","176","408","0.431","71","81","0.877","55","252","307","155","85","22","124","148","1079"
