"SEASON_ID","Age","Tm","Lg","Pos","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS_48","OBPM","DBPM","BPM","VORP","PLAYER_ID","LEAGUE_ID","TEAM_ID","TEAM_ABBREVIATION","PLAYER_AGE","GP","GS","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS"
"2011-12","19","MIL","NBA","SF","42","479","14.2","0.54","0.136","0.32","6.7","16.8","11.6","7.4","1.4","1.1","13.9","20.6","0.4","0.4","0.9","0.087","-1","-0.9","-1.9","0","202699","0","1610612749","MIL","19","42","9","479","79","169","0.467","6","23","0.261","44","54","0.815","30","71","101","22","13","7","31","45","208"
"2012-13","20","TOT","NBA","PF,SF","55","1299","16","0.527","0.211","0.268","6.2","18.6","12.4","8.8","1.3","2.6","10.3","22.1","1.2","1.2","2.4","0.089","0","-0.5","-0.5","0.5","202699","0","0","TOT","20","55","34","1299","233","512","0.455","34","108","0.315","103","137","0.752","73","214","287","69","32","44","66","120","603"
"2012-13","20","TOT","NBA","PF,SF","55","1299","16","0.527","0.211","0.268","6.2","18.6","12.4","8.8","1.3","2.6","10.3","22.1","1.2","1.2","2.4","0.089","0","-0.5","-0.5","0.5","202699","0","1610612753","ORL","20","27","20","974","180","397","0.453","27","87","0.31","80","111","0.721","56","174","230","56","24","37","48","89","467"
"2012-13","20","TOT","NBA","PF,SF","55","1299","16","0.527","0.211","0.268","6.2","18.6","12.4","8.8","1.3","2.6","10.3","22.1","1.2","1.2","2.4","0.089","0","-0.5","-0.5","0.5","202699","0","1610612749","MIL","20","28","14","325","53","115","0.461","7","21","0.333","23","26","0.885","17","40","57","13","8","7","18","31","136"
"2012-13","20","MIL","NBA","SF","28","325","13","0.538","0.183","0.226","5.4","13.7","9.4","6.4","1.2","1.6","12.5","19.4","0.2","0.3","0.5","0.08","-1.5","-0.6","-2.1","0","202699","0","0","TOT","20","55","34","1299","233","512","0.455","34","108","0.315","103","137","0.752","73","214","287","69","32","44","66","120","603"
"2012-13","20","MIL","NBA","SF","28","325","13","0.538","0.183","0.226","5.4","13.7","9.4","6.4","1.2","1.6","12.5","19.4","0.2","0.3","0.5","0.08","-1.5","-0.6","-2.1","0","202699","0","1610612753","ORL","20","27","20","974","180","397","0.453","27","87","0.31","80","111","0.721","56","174","230","56","24","37","48","89","467"
"2012-13","20","MIL","NBA","SF","28","325","13","0.538","0.183","0.226","5.4","13.7","9.4","6.4","1.2","1.6","12.5","19.4","0.2","0.3","0.5","0.08","-1.5","-0.6","-2.1","0","202699","0","1610612749","MIL","20","28","14","325","53","115","0.461","7","21","0.333","23","26","0.885","17","40","57","13","8","7","18","31","136"
"2012-13","20","ORL","NBA","PF","27","974","17","0.524","0.219","0.28","6.5","20.2","13.3","9.6","1.3","2.9","9.7","23.1","1","0.9","1.9","0.092","0.5","-0.5","0","0.5","202699","0","0","TOT","20","55","34","1299","233","512","0.455","34","108","0.315","103","137","0.752","73","214","287","69","32","44","66","120","603"
"2012-13","20","ORL","NBA","PF","27","974","17","0.524","0.219","0.28","6.5","20.2","13.3","9.6","1.3","2.9","9.7","23.1","1","0.9","1.9","0.092","0.5","-0.5","0","0.5","202699","0","1610612753","ORL","20","27","20","974","180","397","0.453","27","87","0.31","80","111","0.721","56","174","230","56","24","37","48","89","467"
"2012-13","20","ORL","NBA","PF","27","974","17","0.524","0.219","0.28","6.5","20.2","13.3","9.6","1.3","2.9","9.7","23.1","1","0.9","1.9","0.092","0.5","-0.5","0","0.5","202699","0","1610612749","MIL","20","28","14","325","53","115","0.461","7","21","0.333","23","26","0.885","17","40","57","13","8","7","18","31","136"
"2013-14","21","ORL","NBA","PF","61","1850","16.5","0.542","0.176","0.341","5.4","20.6","13","7.7","1.1","1","8.7","22.2","2.4","1.7","4.1","0.107","0","-0.7","-0.7","0.6","202699","0","1610612753","ORL","21","61","36","1850","332","716","0.464","32","126","0.254","197","244","0.807","88","336","424","82","41","24","78","143","893"
