,player_name,0304_salary_adjusted,0405_salary_adjusted,0506_salary_adjusted,0607_salary_adjusted,0708_salary_adjusted,0809_salary_adjusted,0910_salary_adjusted,1011_salary_adjusted,1112_salary_adjusted,1213_salary_adjusted,1314_salary_adjusted,1415_salary_adjusted,1516_salary_adjusted,1617_salary_adjusted,1718_salary_adjusted,1819_salary_adjusted,1920_salary_adjusted,2021_salary_adjusted,2122_salary_adjusted,2223_salary_adjusted,2324_salary,2425_salary_predicted,2526_salary_predicted,2627_salary_predicted,CONTRACT_START,CONTRACT_END,AVG_SALARY,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
0,LeBron James,6482581,6748393,7041080,8511223,18546814,19514263,21677854,19711923,21033142,22654792,24196202,25665376,28521911,38066911,40264218,41925309,43307655,45078836,44911401,44474988,47607350,51415938,0,0,2016,2017,32124579,31,76,56,20,2709,1920,737,1416,52,87,282,30,359,491,73,111,454,565,514,249,104,49,143,618
1,LeBron James,6482581,6748393,7041080,8511223,18546814,19514263,21677854,19711923,21033142,22654792,24196202,25665376,28521911,38066911,40264218,41925309,43307655,45078836,44911401,44474988,47607350,51415938,0,0,2015,2016,26966975,30,69,50,19,2493,1743,624,1279,48,120,339,35,375,528,71,51,365,416,511,272,109,49,135,541
2,Tyson Chandler,6136492,7499311,13711048,13362472,14577195,15369740,16279088,17128982,17206990,17566261,17893246,18147033,16141783,15263179,15725512,15974446,2966954,0,0,0,0,0,0,0,2011,2014,13852362,28,74,54,20,2059,748,266,407,65,0,0,0,216,295,73,206,486,692,32,88,36,80,240,295
3,Tyson Chandler,6136492,7499311,13711048,13362472,14577195,15369740,16279088,17128982,17206990,17566261,17893246,18147033,16141783,15263179,15725512,15974446,2966954,0,0,0,0,0,0,0,2015,2018,13000000,32,75,47,28,2286,771,293,440,66,0,0,0,185,257,72,294,570,864,84,105,42,91,169,230
4,Carmelo Anthony,5208750,5422257,5657544,6855081,18546814,19514263,21677854,23313418,24309802,25114603,27270296,27920565,28403331,30193655,31745891,2814944,2497605,2947918,2881021,0,0,0,0,0,2014,2018,19706085,30,77,35,42,2982,2112,743,1643,45,167,415,40,459,541,84,145,477,622,242,198,95,51,224,104
5,Carmelo Anthony,5208750,5422257,5657544,6855081,18546814,19514263,21677854,23313418,24309802,25114603,27270296,27920565,28403331,30193655,31745891,2814944,2497605,2947918,2881021,0,0,0,0,0,2012,2013,20470000,28,55,29,26,1876,1245,441,1025,43,68,203,33,295,367,80,88,256,344,200,144,62,24,156,108
6,Kyle Korver,591865,968510,5530676,5868070,6257527,6712335,7081904,6797215,6563626,6456196,8578993,7774455,7135263,6441439,8467583,8889718,2966954,0,0,0,0,0,0,0,2017,2019,5708251,36,67,33,34,1753,678,239,515,46,162,359,45,38,42,90,7,179,186,110,69,34,21,107,-169
7,Kyle Korver,591865,968510,5530676,5868070,6257527,6712335,7081904,6797215,6563626,6456196,8578993,7774455,7135263,6441439,8467583,8889718,2966954,0,0,0,0,0,0,0,2013,2016,6000000,32,74,41,33,2259,810,277,601,46,189,414,45,67,78,85,23,270,293,146,70,70,37,170,199
8,Zaza Pachulia,591865,968510,6093799,5841517,5688661,5416648,6525372,5779332,6235445,6777391,6598675,6464705,6456713,3562842,4206695,2814944,0,0,0,0,0,0,0,0,2013,2015,5200000,29,52,29,23,1134,306,114,241,47,0,3,0,78,103,75,132,204,336,79,70,35,12,128,-26
9,Udonis Haslem,591865,968510,7617249,8068596,8604100,8903616,9753715,4758050,4962101,5242431,5507356,3396456,3544909,4917657,2816865,2814944,2966954,2947918,2881021,2905851,0,0,0,0,2014,2015,2793470,34,46,30,16,653,173,74,146,50,0,0,0,25,44,56,42,133,175,13,24,11,15,79,-69
