,player_name,0304_salary_adjusted,0405_salary_adjusted,0506_salary_adjusted,0607_salary_adjusted,0708_salary_adjusted,0809_salary_adjusted,0910_salary_adjusted,1011_salary_adjusted,1112_salary_adjusted,1213_salary_adjusted,1314_salary_adjusted,1415_salary_adjusted,1516_salary_adjusted,1617_salary_adjusted,1718_salary_adjusted,1819_salary_adjusted,1920_salary_adjusted,2021_salary_adjusted,2122_salary_adjusted,2223_salary_adjusted,2324_salary,2425_salary_predicted,2526_salary_predicted,2627_salary_predicted
0,Kevin Garnett,"$45,164,442 ","$24,991,966 ","$27,422,097 ","$30,667,969 ","$33,776,427 ","$33,518,133 ","$22,529,708 ","$25,557,528 ","$27,891,534 ","$16,098,566 ","$14,634,426","$14,918,550","$10,554,243","$9,835,315",,,,,,,,,,
1,Shaquille O'Neal,"$39,922,139 ","$43,261,765 ","$30,468,997 ","$29,207,589 ","$28,443,307 ","$28,437,406 ","$27,475,254 ","$1,838,213 ",,,,,,,,,,,,,,,,
2,Dikembe Mutombo,"$28,573,430 ","$30,436,651 ","$3,046,899 ","$3,227,438 ","$1,734,458 ","$1,075,869 ",,,,,,,,,,,,,,,,,,
3,Rasheed Wallace,"$27,421,268 ","$15,182,619 ","$16,544,665 ","$17,013,421 ","$17,833,953 ","$18,863,479 ","$8,042,006 ","$8,594,833 ",,"$1,745,989 ",,,,,,,,,,,,,,
4,Chris Webber,"$25,707,439 ","$27,383,775 ","$29,135,978 ","$26,668,024 ","$27,877,531 ",,,,,,,,,,,,,,,,,,,
5,Allan Houston,"$25,707,439 ","$27,383,775 ","$29,135,978 ",,,,,,,,,,,,,,,,,,,,,
6,Shawn Kemp,"$24,101,577 ",,,,,,,,,,,,,,,,,,,,,,,
7,Stephon Marbury,"$21,775,713 ","$22,844,219 ","$25,065,511 ","$25,095,708 ","$27,038,919 ","$28,221,586 ",,,,,,,,,,,,,,,,,,
8,Anfernee Hardaway,"$21,775,713 ","$22,844,219 ","$23,994,335 ",,"$455,294 ",,,,,,,,,,,,,,,,,,,
9,Allen Iverson,"$21,775,713 ","$22,844,219 ","$25,065,511 ","$25,095,708 ","$27,038,919 ","$28,221,586 ","$1,636,398 ",,,,,,,,,,,,,,,,,
10,Ray Allen,"$21,775,713 ","$22,844,219 ","$20,144,790 ","$21,338,437 ","$22,754,645 ","$24,900,916 ","$25,794,950 ","$13,594,430 ","$13,127,253 ","$3,989,929 ","$4,097,587",,,,,,,,,,,,,
11,Antonio McDyess,"$21,775,713 ","$7,658,475 ","$8,216,422 ","$8,592,288 ","$9,064,739 ","$5,349,507 ","$10,303,220 ","$6,606,893 ","$3,465,595 ",,,,,,,,,,,,,,,
12,Latrell Sprewell,"$21,775,713 ","$22,844,219 ",,,,,,,,,,,,,,,,,,,,,,
13,Kobe Bryant,"$21,775,713 ","$22,141,320 ","$24,294,264 ","$25,876,099 ","$27,718,891 ","$28,792,873 ","$31,643,765 ","$33,722,683 ","$33,139,086 ","$35,959,721 ","$38,644,129","$29,215,494","$31,041,891",,,,,,,,,,,
14,Antoine Walker,"$21,775,713 ","$22,844,219 ","$10,481,335 ","$11,108,843 ","$11,846,125 ","$11,990,395 ",,,,,,,,,,,,,,,,,,
15,Zydrunas Ilgauskas,"$21,775,713 ","$22,844,219 ","$13,314,951 ","$13,789,921 ","$14,423,823 ","$14,681,305 ","$15,854,697 ","$1,838,213 ",,,,,,,,,,,,,,,,
16,Vin Baker,"$21,775,713 ","$13,797,646 ","$13,990,347 ","$7,783,172 ",,,,,,,,,,,,,,,,,,,,
17,Shareef Abdur-Rahim,"$21,775,713 ","$22,844,219 ","$7,617,249 ","$7,886,049 ","$8,248,559 ",,"$9,066,833 ",,,,,,,,,,,,,,,,,
18,Michael Finley,"$21,422,865 ","$22,819,812 ","$28,355,210 ","$27,792,480 ","$30,856,366 ","$3,385,405 ","$3,434,406 ",,,,,,,,,,,,,,,,,
19,Jalen Rose,"$21,420,446 ","$22,628,663 ","$23,909,403 ","$23,572,715 ",,,,,,,,,,,,,,,,,,,,
20,Tracy McGrady,"$21,420,446 ","$22,628,663 ","$23,909,403 ","$24,682,604 ","$27,041,318 ","$27,584,875 ","$31,925,643 ","$1,838,213 ","$1,775,042 ","$102,705 ",,,,,,,,,,,,,,
21,Grant Hill,"$21,420,446 ","$22,628,663 ","$23,909,403 ","$24,682,604 ","$2,602,562 ","$2,676,366 ","$4,121,288 ","$4,518,788 ","$8,532,715 ","$2,526,955 ",,,,,,,,,,,,,,
22,Keith Van Horn,"$21,420,446 ","$22,628,663 ","$23,909,403 ",,"$6,115,311 ",,,,,,,,,,,,,,,,,,,
23,Jermaine O'Neal,"$21,214,383 ","$23,111,320 ","$25,045,515 ","$26,409,502 ","$28,056,478 ","$28,941,154 ","$31,618,522 ","$7,837,189 ","$8,173,290 ","$1,745,989 ","$2,537,952",,,,,,,,,,,,,
24,Jason Kidd,"$21,214,383 ","$23,111,320 ","$25,045,515 ","$26,409,502 ","$28,056,478 ","$28,941,154 ","$10,990,101 ","$11,705,484 ","$13,286,093 ","$3,989,929 ",,,,,,,,,,,,,,
25,Antonio Davis,"$20,848,229 ","$20,188,822 ","$21,214,039 ",,,,,,,,,,,,,,,,,,,,,
26,Tim Duncan,"$20,446,789 ","$22,275,091 ","$24,139,300 ","$25,453,935 ","$27,041,319 ","$27,893,986 ","$30,474,480 ","$25,421,584 ","$27,783,332 ","$12,445,679 ","$13,148,427","$12,881,479","$6,518,797","$6,938,507",,,,,,,,,,
27,Damon Stoudamire,"$19,961,070 ","$19,524,973 ","$5,712,937 ","$5,914,536 ","$6,977,765 ","$3,148,427 ",,,,,,,,,,,,,,,,,,
28,Eddie Jones,"$19,894,533 ","$21,016,681 ","$22,206,186 ","$22,483,231 ","$2,602,562 ","$2,708,324 ",,,,,,,,,,,,,,,,,,
29,Brian Grant,"$19,566,926 ","$20,670,596 ","$24,384,673 ","$24,515,316 ",,,,,,,,,,,,,,,,,,,,
30,Vlade Divac,"$19,439,275 ","$7,658,475 ","$3,046,899 ",,,,,,,,,,,,,,,,,,,,,
31,Nick Van Exel,"$19,286,224 ","$18,639,714 ","$1,734,447 ",,,,,,,,,,,,,,,,,,,,,
32,Tim Thomas,"$19,073,911 ","$20,149,772 ","$21,290,211 ","$7,615,879 ","$8,009,919 ","$8,191,868 ","$10,678,332 ",,,,,,,,,,,,,,,,,
33,Tom Gugliotta,"$18,823,894 ","$4,217,394 ",,,,,,,,,,,,,,,,,,,,,,
34,Vince Carter,"$18,269,370 ","$19,657,256 ","$21,089,354 ","$22,054,103 ","$18,943,242 ","$19,938,853 ","$22,392,332 ","$23,518,364 ","$27,961,050 ","$4,028,666 ","$4,035,344","$4,863,423","$5,075,993","$5,242,293","$9,677,238","$2,814,944","$2,966,954",,,,,,,
35,Dirk Nowitzki,"$18,269,370 ","$19,657,256 ","$21,089,354 ","$22,054,103 ","$23,266,759 ","$24,480,414 ","$27,194,613 ","$23,489,296 ","$25,063,699 ","$26,996,104 ","$28,832,889","$9,913,975","$10,347,296","$30,735,360","$6,048,274","$5,879,443",,,,,,,,
36,Antawn Jamison,"$18,269,370 ","$19,657,256 ","$21,089,354 ","$22,054,103 ","$23,266,759 ","$13,437,737 ","$15,992,102 ","$18,160,670 ","$19,791,586 ","$1,745,989 ","$1,775,940",,,,,,,,,,,,,
37,Paul Pierce,"$18,269,370 ","$19,657,256 ","$21,089,354 ","$22,054,103 ","$23,266,759 ","$24,480,412 ","$27,194,610 ","$18,864,067 ","$20,128,456 ","$21,680,352 ","$19,457,634","$6,595,242","$4,191,897","$4,337,275","$4,451,336",,,,,,,,,
38,Terrell Brandon,"$17,904,475 ",,,,,,,,,,,,,,,,,,,,,,,
39,Shawn Marion,"$17,678,653 ","$19,259,434 ","$20,871,263 ","$22,007,919 ","$23,380,398 ","$24,117,628 ","$9,115,008 ","$9,931,411 ","$10,531,272 ","$11,164,524 ","$11,822,791","$1,800,780",,,,,,,,,,,,
40,Baron Davis,"$17,678,653 ","$19,259,434 ","$20,871,263 ","$22,007,919 ","$23,380,398 ","$15,234,324 ","$16,691,216 ","$17,672,759 ","$20,021,924 ","$19,174,902 ",,,,,,,,,,,,,,
41,Elton Brand,"$17,678,653 ","$18,831,446 ","$20,036,412 ","$20,807,487 ","$21,821,705 ","$18,630,352 ","$20,412,013 ","$21,695,485 ","$22,394,736 ","$23,449,361 ","$5,075,904","$2,486,425","$1,105,951","$1,204,826",,,,,,,,,,
42,Steve Francis,"$17,678,653 ","$19,259,434 ","$20,871,263 ","$22,007,919 ","$24,887,893 ","$26,834,822 ",,,,,,,,,,,,,,,,,,
43,Glenn Robinson,"$17,307,659 ","$18,855,267 ",,,,,,,,,,,,,,,,,,,,,,
