Player Name,2012-2013,2012-2013(*)
Kobe Bryant,27849000.00,35959721.00
Brandon Roy,21459805.00,27709742.00
Dirk Nowitzki,20907128.00,26996104.00
Gilbert Arenas,20807922.00,26868005.00
Amare Stoudemire,19948799.00,25758672.00
Joe Johnson,19752645.00,25505390.00
Carmelo Anthony,19450000.00,25114603.00
Dwight Howard,19261200.00,24870817.00
Pau Gasol,19000000.00,24533545.00
Elton Brand,18160354.00,23449361.00
Chris Paul,17779457.00,22957532.00
Kevin Durant,17548838.00,22659748.00
Chris Bosh,17545000.00,22654792.00
LeBron James,17545000.00,22654792.00
Deron Williams,17177795.00,22180643.00
Dwyane Wade,17024000.00,21982056.00
Paul Pierce,16790345.00,21680352.00
Zach Randolph,16500000.00,21305447.00
Andrew Bynum,16473002.00,21270586.00
Rudy Gay,16460532.00,21254484.00
Derrick Rose,16402500.00,21179551.00
Rashard Lewis,15052181.00,19435966.00
Al Jefferson,15000000.00,19368588.00
Carlos Boozer,15000000.00,19368588.00
Baron Davis,14850000.00,19174902.00
Andre Iguodala,14718250.00,19004782.00
Manu Ginobili,14107492.00,18216147.00
Marc Gasol,13891359.00,17937067.00
Russell Westbrook,13668750.00,17649626.00
Eric Gordon,13668750.00,17649626.00
Kevin Love,13668750.00,17649626.00
Roy Hibbert,13668750.00,17649626.00
Brook Lopez,13668000.00,17648658.00
Tyson Chandler,13604188.00,17566261.00
Emeka Okafor,13543250.00,17487575.00
Luol Deng,13326700.00,17207958.00
Josh Smith,13200000.00,17044358.00
Andrew Bogut,13150000.00,16979796.00
Danny Granger,13058606.00,16861784.00
Nenê,13000000.00,16786110.00
LaMarcus Aldridge,13000000.00,16786110.00
Kevin Martin,12939675.00,16708216.00
David Lee,12744000.00,16455552.00
Tony Parker,12500000.00,16140490.00
Kevin Garnett,12467532.00,16098566.00
Ben Gordon,12400000.00,16011366.00
Kris Humphries,12000000.00,15494870.00
Al Horford,12000000.00,15494870.00
Nicolas Batum,11950000.00,15430309.00
Hidayet Turkoglu,11815850.00,15257089.00
Joakim Noah,11050000.00,14268193.00
Jose Calderon,11046591.00,14263791.00
Monta Ellis,11000000.00,14203631.00
Rajon Rondo,11000000.00,14203631.00
Corey Maggette,10924138.00,14105675.00
DeAndre Jordan,10532977.00,13600593.00
Richard Hamilton,10500000.00,13558011.00
Richard Jefferson,10164000.00,13124155.00
Stephen Jackson,10060000.00,12989866.00
Andrea Bargnani,10000000.00,12912392.00
David West,10000000.00,12912392.00
JaVale McGee,10000000.00,12912392.00
Andrei Kirilenko,9779349.00,12627479.00
Gerald Wallace,9682435.00,12502340.00
Tim Duncan,9638554.00,12445679.00
Danilo Gallinari,9439000.00,12188007.00
Andris Biedrins,9000000.00,11621153.00
Steve Nash,8900000.00,11492029.00
Ryan Anderson,8700000.00,11233781.00
Shawn Marion,8646364.00,11164524.00
Jameer Nelson,8600000.00,11104657.00
Maurice Williams,8500000.00,10975533.00
