"SEASON_ID","Age","Tm","Lg","Pos","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS_48","OBPM","DBPM","BPM","VORP","PLAYER_ID","LEAGUE_ID","TEAM_ID","TEAM_ABBREVIATION","PLAYER_AGE","GP","GS","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS"
"2009-10","20","TOR","NBA","SG","77","1664","12.5","0.554","0.031","0.379","4.8","10.9","7.9","4.9","1.3","0.8","9.4","18.1","2","0.3","2.3","0.066","-1.5","-1.3","-2.8","-0.3","201942","0","1610612761","TOR","20","77","65","1664","255","512","0.498","4","16","0.25","148","194","0.763","66","157","223","53","43","18","62","176","662"
"2010-11","21","TOR","NBA","SG","82","2851","14.5","0.53","0.045","0.348","3","10.2","6.5","8.6","1.5","0.8","9.8","23.2","2.8","0.5","3.2","0.055","-0.9","-1.5","-2.5","-0.3","201942","0","1610612761","TOR","21","82","82","2851","539","1154","0.467","5","52","0.096","327","402","0.813","75","240","315","148","85","31","144","217","1410"
"2011-12","22","TOR","NBA","SG","63","2206","12.8","0.503","0.102","0.367","2.1","9","5.6","10.8","1.2","0.6","10.5","25","1.1","1.4","2.5","0.054","-1.4","-1.3","-2.7","-0.4","201942","0","1610612761","TOR","22","63","63","2206","381","903","0.422","24","92","0.261","268","331","0.81","40","171","211","128","48","17","123","162","1054"
"2012-13","23","TOR","NBA","SG","82","3013","14.7","0.523","0.097","0.347","1.9","10.9","6.3","12","1.3","0.6","9.6","24.2","3.1","1.6","4.7","0.075","-0.2","-1.2","-1.4","0.4","201942","0","1610612761","TOR","23","82","82","3013","548","1231","0.445","34","120","0.283","355","427","0.831","48","272","320","204","76","24","151","173","1485"
"2013-14","24","TOR","NBA","SG","79","3017","18.4","0.532","0.149","0.448","2","11.3","6.6","18.9","1.5","0.7","9.5","28","5.8","3","8.8","0.141","1.9","-0.3","1.7","2.8","201942","0","1610612761","TOR","24","79","79","3017","604","1407","0.429","64","210","0.305","519","630","0.824","51","292","343","313","86","28","176","197","1791"
"2014-15","25","TOR","NBA","SG","60","2100","17.4","0.51","0.089","0.438","2.3","12.9","7.6","17","1.8","0.4","10.4","28.4","2.6","1.4","4","0.09","0.5","-1.4","-0.9","0.6","201942","0","1610612761","TOR","25","60","60","2100","409","990","0.413","25","88","0.284","361","434","0.832","41","236","277","210","73","11","137","122","1204"
"2015-16","26","TOR","NBA","SG","78","2804","21.5","0.55","0.101","0.474","2.7","11.5","7.1","20.8","1.5","0.6","9.5","29.8","7.5","2.4","9.9","0.169","3.2","-0.7","2.5","3.2","201942","0","1610612761","TOR","26","78","78","2804","614","1377","0.446","47","139","0.338","555","653","0.85","64","285","349","315","81","21","175","167","1830"
"2016-17","27","TOR","NBA","SG","74","2620","24","0.552","0.08","0.419","3","13.6","8.3","20.6","1.5","0.4","9","34.3","6.7","2.4","9","0.166","4.1","-1","3","3.3","201942","0","1610612761","TOR","27","74","74","2620","721","1545","0.467","33","124","0.266","545","647","0.842","70","316","386","290","78","13","180","134","2020"
"2017-18","28","TOR","NBA","SG","80","2711","21","0.555","0.203","0.396","2.5","10.4","6.5","25","1.5","0.6","9.5","29.6","6.8","2.8","9.6","0.17","3.3","-0.6","2.8","3.2","201942","0","1610612761","TOR","28","80","80","2712","645","1413","0.456","89","287","0.31","461","559","0.825","59","256","315","417","85","22","175","151","1840"
"2018-19","29","SAS","NBA","SG","77","2688","19.6","0.542","0.034","0.336","2.2","16.4","9.4","27.6","1.6","1.1","11.7","27.9","3.6","2.6","6.3","0.112","1","0.1","1.1","2.2","201942","0","1610612759","SAS","29","77","77","2688","631","1313","0.481","7","45","0.156","366","441","0.83","54","408","462","475","86","36","199","177","1635"
"2019-20","30","SAS","NBA","SF","68","2316","21.6","0.603","0.033","0.43","2","15.4","8.7","26.1","1.4","0.8","11.6","26.3","5.9","1.3","7.3","0.151","2.3","-0.4","1.9","2.3","201942","0","1610612759","SAS","30","68","68","2316","557","1049","0.531","9","35","0.257","381","451","0.845","44","331","375","380","70","20","164","180","1504"
"2020-21","31","SAS","NBA","PF","61","2056","22","0.591","0.08","0.478","2","11.6","6.7","32","1.3","0.6","9.7","26.1","5.9","1.5","7.4","0.172","3.2","-0.1","3.1","2.6","201942","0","1610612759","SAS","31","61","61","2056","455","920","0.495","19","74","0.257","387","440","0.88","40","219","259","422","56","15","119","128","1316"
"2021-22","32","CHI","NBA","PF","76","2743","23.1","0.59","0.093","0.386","2.3","13.7","8","23.3","1.2","0.8","9.2","31.8","7","1.8","8.8","0.154","3.4","-0.9","2.5","3.1","201942","0","1610612741","CHI","32","76","76","2743","774","1535","0.504","50","142","0.352","520","593","0.877","56","336","392","374","68","24","181","178","2118"
"2022-23","33","CHI","NBA","SF","74","2682","20.6","0.592","0.109","0.401","1.5","12.8","7.2","22.3","1.5","1.3","9.1","27.8","5.4","3.2","8.5","0.153","1.7","0.3","2","2.6","201942","0","1610612741","CHI","33","74","74","2682","657","1303","0.504","46","142","0.324","456","523","0.872","34","309","343","377","83","36","153","186","1816"
