Stephen Curry,"$40,231,758","$46,540,848"
Chris Paul,"$38,506,482","$44,545,016"
Russell Westbrook,"$38,506,482","$44,545,016"
John Wall,"$38,199,000","$44,189,315"
James Harden,"$38,199,000","$44,189,315"
LeBron James,"$37,436,858","$43,307,655"
Kevin Durant,"$37,199,000","$43,032,497"
Blake Griffin,"$34,449,964","$39,852,360"
Kyle Lowry,"$33,296,296","$38,517,776"
Paul George,"$33,005,556","$38,181,442"
Tobias Harris,"$32,742,000","$37,876,556"
Jimmy Butler,"$32,742,000","$37,876,556"
Kawhi Leonard,"$32,742,000","$37,876,556"
Klay Thompson,"$32,742,000","$37,876,556"
Kemba Walker,"$32,742,000","$37,876,556"
Gordon Hayward,"$32,700,690","$37,828,768"
Mike Conley,"$32,511,623","$37,610,051"
Kyrie Irving,"$31,742,000","$36,719,737"
Khris Middleton,"$30,603,448","$35,402,639"
Paul Millsap,"$30,350,000","$35,109,446"
Damian Lillard,"$29,802,321","$34,475,880"
Kevin Love,"$28,942,830","$33,481,605"
Al Horford,"$28,000,000","$32,390,922"
Nikola Vucevic,"$28,000,000","$32,390,922"
DeMar DeRozan,"$27,739,975","$32,090,120"
CJ McCollum,"$27,556,959","$31,878,404"
Joel Embiid,"$27,504,630","$31,817,869"
Andrew Wiggins,"$27,504,630","$31,817,869"
Nikola Jokic,"$27,504,630","$31,817,869"
Devin Booker,"$27,285,000","$31,563,796"
Karl-Anthony Towns,"$27,285,000","$31,563,796"
D'Angelo Russell,"$27,285,000","$31,563,796"
Kristaps Porzingis,"$27,285,000","$31,563,796"
Otto Porter,"$27,250,576","$31,523,974"
Anthony Davis,"$27,093,019","$31,341,709"
Bradley Beal,"$27,093,018","$31,341,708"
Hassan Whiteside,"$27,093,018","$31,341,708"
Andre Drummond,"$27,093,018","$31,341,708"
Jrue Holiday,"$26,131,111","$30,228,956"
LaMarcus Aldridge,"$26,000,000","$30,077,284"
Steven Adams,"$25,842,697","$29,895,313"
Giannis Antetokounmpo,"$25,842,697","$29,895,313"
Marc Gasol,"$25,595,700","$29,609,583"
Nicolas Batum,"$25,565,217","$29,574,319"
Rudy Gobert,"$25,258,427","$29,219,419"
Chandler Parsons,"$25,102,512","$29,039,054"
Harrison Barnes,"$24,147,727","$27,934,540"
Serge Ibaka,"$23,271,604","$26,921,025"
Danilo Gallinari,"$22,615,559","$26,162,100"
Victor Oladipo,"$21,000,000","$24,293,191"
Tim Hardaway Jr,"$20,025,127","$23,165,440"
Malcolm Brogdon,"$20,000,000","$23,136,373"
Terry Rozier,"$19,894,737","$23,014,602"
Aaron Gordon,"$19,863,636","$22,978,624"
Zach LaVine,"$19,500,000","$22,557,963"
Kent Bazemore,"$19,269,663","$22,291,505"
Goran Dragic,"$19,217,900","$22,231,625"
Jeff Teague,"$19,000,000","$21,979,554"
Evan Turner,"$18,606,556","$21,524,411"
Draymond Green,"$18,539,130","$21,446,411"
Tristan Thompson,"$18,539,130","$21,446,411"
Gary Harris,"$18,189,286","$21,041,705"
Julius Randle,"$18,000,000","$20,822,735"
Myles Turner,"$18,000,000","$20,822,735"
Derrick Favors,"$17,650,000","$20,417,849"
