Player Name,2022-2023,2022-2023(*)
Stephen Curry,"48,070,014.00","48,070,014.00"
John Wall,"47,345,760.00","47,345,760.00"
Russell Westbrook,"47,080,179.00","47,080,179.00"
LeBron James,"44,474,988.00","44,474,988.00"
Kevin Durant,"44,119,845.00","44,119,845.00"
Bradley Beal,"43,279,250.00","43,279,250.00"
Damian Lillard,"42,492,492.00","42,492,492.00"
Giannis Antetokounmpo,"42,492,492.00","42,492,492.00"
Paul George,"42,492,492.00","42,492,492.00"
Kawhi Leonard,"42,492,492.00","42,492,492.00"
Klay Thompson,"40,600,080.00","40,600,080.00"
Kyrie Irving,"38,917,057.00","38,917,057.00"
Rudy Gobert,"38,172,414.00","38,172,414.00"
Khris Middleton,"37,984,276.00","37,984,276.00"
Anthony Davis,"37,980,720.00","37,980,720.00"
Jimmy Butler,"37,653,300.00","37,653,300.00"
Tobias Harris,"37,633,050.00","37,633,050.00"
Kemba Walker,"37,281,261.00","37,281,261.00"
Luka Doncic,"37,096,500.00","37,096,500.00"
Zach LaVine,"37,096,500.00","37,096,500.00"
Trae Young,"37,096,500.00","37,096,500.00"
Pascal Siakam,"35,448,672.00","35,448,672.00"
Ben Simmons,"35,448,672.00","35,448,672.00"
Myles Turner,"35,096,500.00","35,096,500.00"
Jrue Holiday,"34,319,520.00","34,319,520.00"
Kristaps Porzingis,"33,833,400.00","33,833,400.00"
Devin Booker,"33,833,400.00","33,833,400.00"
Karl-Anthony Towns,"33,833,400.00","33,833,400.00"
Joel Embiid,"33,616,770.00","33,616,770.00"
Andrew Wiggins,"33,616,770.00","33,616,770.00"
CJ McCollum,"33,333,333.00","33,333,333.00"
Nikola Jokic,"33,047,803.00","33,047,803.00"
James Harden,"33,000,000.00","33,000,000.00"
Brandon Ingram,"31,650,600.00","31,650,600.00"
Jamal Murray,"31,650,600.00","31,650,600.00"
D'Angelo Russell,"31,377,750.00","31,377,750.00"
Deandre Ayton,"30,913,750.00","30,913,750.00"
Shai Gilgeous-Alexander,"30,913,750.00","30,913,750.00"
Michael Porter,"30,913,750.00","30,913,750.00"
Donovan Mitchell,"30,913,750.00","30,913,750.00"
Kevin Love,"30,556,968.00","30,556,968.00"
De'Aaron Fox,"30,351,780.00","30,351,780.00"
Bam Adebayo,"30,351,780.00","30,351,780.00"
Jayson Tatum,"30,351,780.00","30,351,780.00"
Gordon Hayward,"30,075,000.00","30,075,000.00"
Jaylen Brown,"29,776,785.00","29,776,785.00"
Jaren Jackson Jr,"28,946,605.00","28,946,605.00"
Chris Paul,"28,400,000.00","28,400,000.00"
Kyle Lowry,"28,333,334.00","28,333,334.00"
Jalen Brunson,"27,733,332.00","27,733,332.00"
DeMar DeRozan,"27,300,000.00","27,300,000.00"
Al Horford,"26,500,000.00","26,500,000.00"
Draymond Green,"25,806,468.00","25,806,468.00"
Julius Randle,"23,760,000.00","23,760,000.00"
John Collins,"23,500,000.00","23,500,000.00"
Mike Conley,"22,680,000.00","22,680,000.00"
Malcolm Brogdon,"22,600,000.00","22,600,000.00"
Anfernee Simons,"22,321,429.00","22,321,429.00"
Nikola Vucevic,"22,000,000.00","22,000,000.00"
Terry Rozier,"21,486,316.00","21,486,316.00"
Fred VanVleet,"21,250,000.00","21,250,000.00"
Buddy Hield,"21,177,750.00","21,177,750.00"
Domantas Sabonis,"21,100,000.00","21,100,000.00"
Jerami Grant,"20,955,000.00","20,955,000.00"
Aaron Gordon,"20,690,909.00","20,690,909.00"
Mikal Bridges,"20,100,000.00","20,100,000.00"
Jarrett Allen,"20,000,000.00","20,000,000.00"
Nicolas Batum,"19,700,319.00","19,700,319.00"
Tim Hardaway Jr,"19,602,273.00","19,602,273.00"
Eric Gordon,"19,568,360.00","19,568,360.00"
Bojan Bogdanovic,"19,550,000.00","19,550,000.00"
Lonzo Ball,"19,534,884.00","19,534,884.00"
Spencer Dinwiddie,"19,500,000.00","19,500,000.00"
Danilo Gallinari,"19,479,000.00","19,479,000.00"
Caris LeVert,"18,796,296.00","18,796,296.00"
Joe Harris,"18,642,857.00","18,642,857.00"
Harrison Barnes,"18,352,273.00","18,352,273.00"
Clint Capela,"18,206,896.00","18,206,896.00"
Evan Fournier,"18,000,000.00","18,000,000.00"
Bogdan Bogdanovic,"18,000,000.00","18,000,000.00"
Steven Adams,"17,926,829.00","17,926,829.00"
Jonathan Isaac,"17,400,000.00","17,400,000.00"
OG Anunoby,"17,357,143.00","17,357,143.00"
Gary Trent Jr,"17,280,000.00","17,280,000.00"
Marcus Smart,"17,207,142.00","17,207,142.00"
Derrick White,"17,142,857.00","17,142,857.00"
Dejounte Murray,"17,071,120.00","17,071,120.00"
Mitchell Robinson,"17,045,454.00","17,045,454.00"
Duncan Robinson,"16,902,000.00","16,902,000.00"
Norman Powell,"16,758,621.00","16,758,621.00"
Collin Sexton,"16,700,000.00","16,700,000.00"
Markelle Fultz,"16,500,000.00","16,500,000.00"
Lauri Markkanen,"16,475,454.00","16,475,454.00"
Marcus Morris,"16,372,093.00","16,372,093.00"
Davis Bertans,"16,000,000.00","16,000,000.00"
Jusuf Nurkic,"15,625,000.00","15,625,000.00"
Malik Beasley,"15,558,035.00","15,558,035.00"
Luguentz Dort,"15,277,778.00","15,277,778.00"
Will Barton,"15,059,712.00","15,059,712.00"
Tyus Jones,"15,000,000.00","15,000,000.00"
Jonas Valanciunas,"14,700,000.00","14,700,000.00"
Derrick Rose,"14,520,730.00","14,520,730.00"
Kevin Huerter,"14,508,929.00","14,508,929.00"
Christian Wood,"14,317,459.00","14,317,459.00"
Wendell Carter,"14,150,000.00","14,150,000.00"
Kentavious Caldwell-Pope,"14,004,703.00","14,004,703.00"
Brook Lopez,"13,906,976.00","13,906,976.00"
Patrick Beverley,"13,801,614.00","13,801,614.00"
Doug McDermott,"13,750,000.00","13,750,000.00"
Luke Kennard,"13,745,455.00","13,745,455.00"
Zion Williamson,"13,534,817.00","13,534,817.00"
Jordan Clarkson,"13,340,000.00","13,340,000.00"
Kyle Kuzma,"13,000,000.00","13,000,000.00"
Gary Harris,"13,000,000.00","13,000,000.00"
Josh Hart,"12,960,000.00","12,960,000.00"
Dorian Finney-Smith,"12,939,848.00","12,939,848.00"
Kelly Olynyk,"12,804,878.00","12,804,878.00"
Chris Boucher,"12,690,000.00","12,690,000.00"
Kelly Oubre,"12,600,000.00","12,600,000.00"
Marvin Bagley,"12,500,000.00","12,500,000.00"
Robert Covington,"12,307,692.00","12,307,692.00"
Josh Richardson,"12,196,094.00","12,196,094.00"
