Kevin Garnett,"$24,751,934 ","$33,518,133 "
Jermaine O'Neal,"$21,372,000 ","$28,941,154 "
Jason Kidd,"$21,372,000 ","$28,941,154 "
Kobe Bryant,"$21,262,500 ","$28,792,873 "
Shaquille O'Neal,"$21,000,000 ","$28,437,406 "
Stephon Marbury,"$20,840,625 ","$28,221,586 "
Allen Iverson,"$20,840,625 ","$28,221,586 "
Tim Duncan,"$20,598,704 ","$27,893,986 "
Tracy McGrady,"$20,370,437 ","$27,584,875 "
Steve Francis,"$19,816,550 ","$26,834,822 "
Ray Allen,"$18,388,430 ","$24,900,916 "
Dirk Nowitzki,"$18,077,904 ","$24,480,414 "
Paul Pierce,"$18,077,903 ","$24,480,412 "
Shawn Marion,"$17,810,000 ","$24,117,628 "
Rashard Lewis,"$16,447,871 ","$22,273,085 "
Michael Redd,"$15,780,000 ","$21,368,679 "
Andrei Kirilenko,"$15,106,000 ","$20,455,974 "
Pau Gasol,"$15,106,000 ","$20,455,974 "
Amare Stoudemire,"$15,070,550 ","$20,407,969 "
Yao Ming,"$15,070,550 ","$20,407,969 "
Mike Bibby,"$14,983,603 ","$20,290,228 "
Vince Carter,"$14,724,125 ","$19,938,853 "
Zach Randolph,"$14,666,667 ","$19,861,045 "
Gilbert Arenas,"$14,653,466 ","$19,843,169 "
Ben Wallace,"$14,500,000 ","$19,635,351 "
Kenyon Martin,"$14,431,816 ","$19,543,019 "
Chris Bosh,"$14,410,581 ","$19,514,263 "
Dwyane Wade,"$14,410,581 ","$19,514,263 "
Carmelo Anthony,"$14,410,581 ","$19,514,263 "
LeBron James,"$14,410,581 ","$19,514,263 "
Joe Johnson,"$14,232,567 ","$19,273,204 "
Lamar Odom,"$14,148,596 ","$19,159,493 "
Rasheed Wallace,"$13,930,000 ","$18,863,479 "
Wally Szczerbiak,"$13,775,000 ","$18,653,584 "
Dwight Howard,"$13,758,000 ","$18,630,563 "
Elton Brand,"$13,757,844 ","$18,630,352 "
Richard Jefferson,"$13,200,000 ","$17,874,940 "
Larry Hughes,"$12,827,676 ","$17,370,753 "
Raef LaFrentz,"$12,722,500 ","$17,228,328 "
Jason Richardson,"$12,664,335 ","$17,149,563 "
Predrag Stojakovic,"$12,528,000 ","$16,964,943 "
Steve Nash,"$12,250,000 ","$16,588,486 "
Carlos Boozer,"$11,593,817 ","$15,699,908 "
Erick Dampier,"$11,553,000 ","$15,644,635 "
Tony Parker,"$11,550,000 ","$15,640,573 "
Brad Miller,"$11,375,000 ","$15,403,594 "
Tyson Chandler,"$11,350,000 ","$15,369,740 "
Andre Iguodala,"$11,300,000 ","$15,302,032 "
Baron Davis,"$11,250,000 ","$15,234,324 "
Samuel Dalembert,"$11,238,564 ","$15,218,838 "
Chauncey Billups,"$11,050,000 ","$14,963,492 "
Al Jefferson,"$11,000,000 ","$14,895,784 "
Monta Ellis,"$11,000,000 ","$14,895,784 "
Zydrunas Ilgauskas,"$10,841,615 ","$14,681,305 "
Richard Hamilton,"$10,812,500 ","$14,641,878 "
Bobby Simmons,"$10,602,667 ","$14,357,730 "
Andre Miller,"$10,333,334 ","$13,993,010 "
Troy Murphy,"$10,126,984 ","$13,713,578 "
Marcus Camby,"$10,000,000 ","$13,541,621 "
Kirk Hinrich,"$10,000,000 ","$13,541,621 "
Josh Smith,"$10,000,000 ","$13,541,621 "
Josh Howard,"$9,945,000 ","$13,467,142 "
Antawn Jamison,"$9,923,285 ","$13,437,737 "
Manu Ginobili,"$9,905,248 ","$13,413,312 "
David West,"$9,862,500 ","$13,355,424 "
Eddy Curry,"$9,723,983 ","$13,167,850 "
Darius Miles,"$9,704,752 ","$13,141,807 "
Nenê,"$9,680,000 ","$13,108,290 "
Emeka Okafor,"$9,537,500 ","$12,915,321 "
Chris Kaman,"$9,500,000 ","$12,864,540 "
Tayshaun Prince,"$9,500,000 ","$12,864,540 "
Gerald Wallace,"$9,500,000 ","$12,864,540 "
Luol Deng,"$9,385,000 ","$12,708,812 "
Caron Butler,"$9,249,980 ","$12,525,973 "
Al Harrington,"$9,226,250 ","$12,493,838 "
Jason Terry,"$9,196,000 ","$12,452,875 "
Cuttino Mobley,"$9,100,000 ","$12,322,875 "
Mike Miller,"$9,028,575 ","$12,226,154 "
Mike Dunleavy,"$9,000,000 ","$12,187,459 "
Andris Biedrins,"$9,000,000 ","$12,187,459 "
Boris Diaw,"$9,000,000 ","$12,187,459 "
Antoine Walker,"$8,854,475 ","$11,990,395 "
Kevin Martin,"$8,760,335 ","$11,862,914 "
Quentin Richardson,"$8,685,500 ","$11,761,575 "
Jamal Crawford,"$8,640,000 ","$11,699,961 "
Kenny Thomas,"$8,562,500 ","$11,595,013 "
Mark Blount,"$8,513,916 ","$11,529,223 "
Mehmet Okur,"$8,500,000 ","$11,510,378 "
Radoslav Nesterovic,"$8,400,000 ","$11,374,962 "
Juwan Howard,"$8,355,619 ","$11,314,862 "
Maurice Williams,"$8,353,000 ","$11,311,316 "
