Player Name,2018-2019,2018-2019(*)
Stephen Curry,"37,457,154.00","44,045,441.00"
Russell Westbrook,"35,665,000.00","41,938,067.00"
LeBron James,"35,654,150.00","41,925,309.00"
Chris Paul,"35,654,150.00","41,925,309.00"
Kyle Lowry,"32,700,000.00","38,451,558.00"
Blake Griffin,"31,873,932.00","37,480,194.00"
Gordon Hayward,"31,214,295.00","36,704,534.00"
James Harden,"30,570,000.00","35,946,915.00"
Paul George,"30,560,700.00","35,935,979.00"
Mike Conley,"30,521,115.00","35,889,432.00"
Kevin Durant,"30,000,000.00","35,276,658.00"
Paul Millsap,"29,230,769.00","34,372,128.00"
Al Horford,"28,928,710.00","34,016,941.00"
Damian Lillard,"27,977,689.00","32,898,646.00"
DeMar DeRozan,"27,739,975.00","32,619,121.00"
Chris Bosh,"26,837,720.00","31,558,169.00"
Jrue Holiday,"26,641,111.00","31,326,979.00"
Otto Porter,"26,011,913.00","30,587,112.00"
CJ McCollum,"25,759,766.00","30,290,615.00"
Joel Embiid,"25,467,250.00","29,946,649.00"
Andrew Wiggins,"25,467,250.00","29,946,649.00"
Nikola Jokic,"25,467,250.00","29,946,649.00"
Anthony Davis,"25,434,263.00","29,907,860.00"
Bradley Beal,"25,434,262.00","29,907,859.00"
Andre Drummond,"25,434,262.00","29,907,859.00"
Hassan Whiteside,"24,434,262.00","28,731,970.00"
Dwight Howard,"24,256,725.00","28,523,206.00"
Steven Adams,"24,157,304.00","28,406,299.00"
Giannis Antetokounmpo,"24,157,304.00","28,406,299.00"
Marc Gasol,"24,119,025.00","28,361,287.00"
Kevin Love,"24,119,025.00","28,361,287.00"
Harrison Barnes,"24,107,258.00","28,347,450.00"
Chandler Parsons,"24,107,258.00","28,347,450.00"
Nicolas Batum,"24,000,000.00","28,221,327.00"
Rudy Gobert,"23,491,573.00","27,623,473.00"
Kawhi Leonard,"23,114,066.00","27,179,567.00"
DeAndre Jordan,"22,897,200.00","26,924,557.00"
LaMarcus Aldridge,"22,347,015.00","26,277,600.00"
Serge Ibaka,"21,666,667.00","25,477,587.00"
Aaron Gordon,"21,590,909.00","25,388,504.00"
Danilo Gallinari,"21,587,579.00","25,384,588.00"
Victor Oladipo,"21,000,000.00","24,693,661.00"
Ryan Anderson,"20,421,546.00","24,013,463.00"
Joakim Noah,"20,261,172.00","23,824,881.00"
Kyrie Irving,"20,099,189.00","23,634,407.00"
Jabari Parker,"20,000,000.00","23,517,772.00"
Jimmy Butler,"19,841,627.00","23,331,543.00"
Zach LaVine,"19,500,000.00","22,929,828.00"
Wesley Matthews,"19,360,228.00","22,765,471.00"
Allen Crabbe,"19,332,500.00","22,732,866.00"
Enes Kanter,"19,264,603.00","22,653,027.00"
Tyler Johnson,"19,245,370.00","22,630,411.00"
John Wall,"19,169,800.00","22,541,549.00"
Jeff Teague,"19,000,000.00","22,341,883.00"
George Hill,"19,000,000.00","22,341,883.00"
